university,major,error
Arizona Western College,"Building/Construction Finishing, Management, and Inspection, Other",
Arizona Western College,Building/Home/Construction Inspection/Inspector,
Arizona Western College,Carpentry/Carpenter,
Arizona Western College,"Construction Trades, General",
Arizona Western College,Mason/Masonry,
Arizona Western College,"Plumbing and Related Water Supply Services, Other",
Arizona Western College,Plumbing Technology/Plumber,
Arizona Western College,Culinary Arts/Chef Training,
Arizona Western College,"Restaurant, Culinary, and Catering Management/Manager",
Arizona Western College,Early Childhood Education and Teaching,
Arizona Western College,Elementary Education and Teaching,
Arizona Western College,Secondary Education and Teaching,
Arizona Western College,Electrical and Electronics Engineering,
Arizona Western College,"Engineering, General",
Arizona Western College,Manufacturing Engineering,
Arizona Western College,Telecommunications Engineering,
Arizona Western College,Automotive Engineering Technology/Technician,
Arizona Western College,CAD/CADD Drafting and/or Design Technology/Technician,
Arizona Western College,Construction Engineering Technology/Technician,
Arizona Western College,"Drafting and Design Technology/Technician, General",
Arizona Western College,"Electrical, Electronic, and Communications Engineering Technology/Technician",
Arizona Western College,"Electrical/Electronic Engineering Technologies/Technicians, Other",
Arizona Western College,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD,
Arizona Western College,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",
Arizona Western College,Industrial Technology/Technician,
Arizona Western College,Manufacturing Engineering Technology/Technician,
Arizona Western College,Mechanical Drafting and Mechanical Drafting CAD/CADD,
Arizona Western College,Solar Energy Technology/Technician,
Arizona Western College,Welding Engineering Technology/Technician,
Arizona Western College,"English Language and Literature, General",
Arizona Western College,Child Development,
Arizona Western College,"Family and Consumer Sciences/Human Sciences, General",
Arizona Western College,"Foreign Languages and Literatures, General",
Arizona Western College,Spanish Language and Literature,
Arizona Western College,Community Health and Preventive Medicine,
Arizona Western College,Dietetics/Dietitian,
Arizona Western College,Emergency Medical Technology/Technician (EMT Paramedic),
Arizona Western College,"Health Services/Allied Health/Health Sciences, General",
Arizona Western College,Licensed Practical/Vocational Nurse Training,
Arizona Western College,Massage Therapy/Therapeutic Massage,
Arizona Western College,Medical/Clinical Assistant,
Arizona Western College,Nursing Assistant/Aide and Patient Care Assistant/Aide,
Arizona Western College,Pre-Nursing Studies,
Arizona Western College,Radiologic Technology/Science - Radiographer,
Arizona Western College,Registered Nursing/Registered Nurse,
Arizona Western College,"History, General",
Arizona Western College,"Corrections and Criminal Justice, Other",
Arizona Western College,Criminal Justice/Law Enforcement Administration,
Arizona Western College,Fire Science/Fire-fighting,
Arizona Western College,Homeland Security,
Arizona Western College,Law Enforcement Investigation and Interviewing,
Arizona Western College,Legal Assistant/Paralegal,
Arizona Western College,General Studies,
Arizona Western College,"Mathematics, General",
Arizona Western College,Automobile/Automotive Mechanics Technology/Technician,
